,Unnamed: 0,title,subtitle,pdf,txt,more,fileName,year,date,President
423,423,30 WCPD 742 - Nominations Submitted to the Senate,"Supplementary Materials. Friday, April 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg742.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg742.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg742&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg742,1994,"Friday, April 8, 1994",Bill Clinton
424,424,30 WCPD 742 - Checklist of White House Press Releases,"Supplementary Materials. Friday, April 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg742-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg742-2.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg742-2&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg742-2,1994,"Friday, April 8, 1994",Bill Clinton
425,425,30 WCPD 743 - Acts Approved by the President,"Supplementary Materials. Friday, April 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg743.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg743.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg743&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg743,1994,"Friday, April 8, 1994",Bill Clinton
426,426,"30 WCPD 745 - Remarks on Arrival in Kansas City, Missouri","Addresses and Remarks. Thursday, April 7, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/pdf/WCPD-1994-04-18-Pg745.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/html/WCPD-1994-04-18-Pg745.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-18-Pg745&packageId=WCPD-1994-04-18&fromBrowse=true,WCPD-1994-04-18-Pg745,1994,"Thursday, April 7, 1994",Bill Clinton
427,427,"30 WCPD 746 - Remarks at a Rally for Health Care Reform in Minneapolis, Minnesota","Addresses and Remarks. Friday, April 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/pdf/WCPD-1994-04-18-Pg746.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/html/WCPD-1994-04-18-Pg746.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-18-Pg746&packageId=WCPD-1994-04-18&fromBrowse=true,WCPD-1994-04-18-Pg746,1994,"Friday, April 8, 1994",Bill Clinton
428,428,30 WCPD 752 - Remarks and an Exchange With Reporters in Minneapolis,"Interviews With the News Media. Friday, April 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/pdf/WCPD-1994-04-18-Pg752.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/html/WCPD-1994-04-18-Pg752.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-18-Pg752&packageId=WCPD-1994-04-18&fromBrowse=true,WCPD-1994-04-18-Pg752,1994,"Friday, April 8, 1994",Bill Clinton
429,429,30 WCPD 754 - Statement by the Press Secretary on the Resignation of Prime Minister Morihiro Hosokawa of Japan,"Statements Other Than Presidential. Friday, April 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/pdf/WCPD-1994-04-18-Pg754.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/html/WCPD-1994-04-18-Pg754.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-18-Pg754&packageId=WCPD-1994-04-18&fromBrowse=true,WCPD-1994-04-18-Pg754,1994,"Friday, April 8, 1994",Bill Clinton
430,430,30 WCPD 754 - Remarks in a Town Meeting in Minneapolis,"Addresses and Remarks. Friday, April 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/pdf/WCPD-1994-04-18-Pg754-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/html/WCPD-1994-04-18-Pg754-2.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-18-Pg754-2&packageId=WCPD-1994-04-18&fromBrowse=true,WCPD-1994-04-18-Pg754-2,1994,"Friday, April 8, 1994",Bill Clinton
431,431,"30 WCPD 768 - Proclamation 6665--Jewish Heritage Week, 1994","Proclamations. Friday, April 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/pdf/WCPD-1994-04-18-Pg768.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/html/WCPD-1994-04-18-Pg768.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-18-Pg768&packageId=WCPD-1994-04-18&fromBrowse=true,WCPD-1994-04-18-Pg768,1994,"Friday, April 8, 1994",Bill Clinton
432,432,"30 WCPD 768 - Proclamation 6666--Pan American Day and Pan American Week, 1994","Proclamations. Friday, April 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/pdf/WCPD-1994-04-18-Pg768-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/html/WCPD-1994-04-18-Pg768-2.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-18-Pg768-2&packageId=WCPD-1994-04-18&fromBrowse=true,WCPD-1994-04-18-Pg768-2,1994,"Friday, April 8, 1994",Bill Clinton
433,433,30 WCPD 769 - The President's Radio Address,"Addresses and Remarks. Saturday, April 9, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/pdf/WCPD-1994-04-18-Pg769.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/html/WCPD-1994-04-18-Pg769.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-18-Pg769&packageId=WCPD-1994-04-18&fromBrowse=true,WCPD-1994-04-18-Pg769,1994,"Saturday, April 9, 1994",Bill Clinton
434,434,30 WCPD 772 - Exchange With Reporters on Bosnia,"Interviews With the News Media. Monday, April 11, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/pdf/WCPD-1994-04-18-Pg772.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/html/WCPD-1994-04-18-Pg772.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-18-Pg772&packageId=WCPD-1994-04-18&fromBrowse=true,WCPD-1994-04-18-Pg772,1994,"Monday, April 11, 1994",Bill Clinton
435,435,30 WCPD 773 - Remarks in a Telephone Conversation on Public Housing,"Addresses and Remarks. Monday, April 11, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/pdf/WCPD-1994-04-18-Pg773.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/html/WCPD-1994-04-18-Pg773.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-18-Pg773&packageId=WCPD-1994-04-18&fromBrowse=true,WCPD-1994-04-18-Pg773,1994,"Monday, April 11, 1994",Bill Clinton
436,436,30 WCPD 775 - Remarks to Law Enforcement Officers,"Addresses and Remarks. Monday, April 11, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/pdf/WCPD-1994-04-18-Pg775.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/html/WCPD-1994-04-18-Pg775.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-18-Pg775&packageId=WCPD-1994-04-18&fromBrowse=true,WCPD-1994-04-18-Pg775,1994,"Monday, April 11, 1994",Bill Clinton
437,437,30 WCPD 778 - Remarks at the Thomas Jefferson Dinner,"Addresses and Remarks. Monday, April 11, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/pdf/WCPD-1994-04-18-Pg778.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-18/html/WCPD-1994-04-18-Pg778.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-18-Pg778&packageId=WCPD-1994-04-18&fromBrowse=true,WCPD-1994-04-18-Pg778,1994,"Monday, April 11, 1994",Bill Clinton
