title,subtitle,pdf,txt,more,fileName,year
DCPD-201600041  - Memorandum on Delegation of Certain Authority and Assignment of Certain Functions Under Section...,"Communications to Federal Agencies. Friday, January 29, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600041/pdf/DCPD-201600041.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600041/html/DCPD-201600041.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600041&fromBrowse=true,DCPD-201600041,2016
DCPD-201600042  - The President's Weekly Address,"Addresses and Remarks. Saturday, January 30, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600042/pdf/DCPD-201600042.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600042/html/DCPD-201600042.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600042&fromBrowse=true,DCPD-201600042,2016
DCPD-201600043  - Message to the Congress Transmitting the Hungary-United States Social Security Agreement,"Communications to Congress. Monday, February 1, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600043/pdf/DCPD-201600043.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600043/html/DCPD-201600043.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600043&fromBrowse=true,DCPD-201600043,2016
DCPD-201600044  - Statement on the European Reassurance Initiative,"Statements by the President. Tuesday, February 2, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600044/pdf/DCPD-201600044.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600044/html/DCPD-201600044.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600044&fromBrowse=true,DCPD-201600044,2016
DCPD-201600045  - Executive Order 13717-Establishing a Federal Earthquake Risk Management Standard,"Executive Orders. Tuesday, February 2, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600045/pdf/DCPD-201600045.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600045/html/DCPD-201600045.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600045&fromBrowse=true,DCPD-201600045,2016
DCPD-201600046  - Message to the Congress Transmitting the District of Columbia's Fiscal Year 2016 Budget Request,"Communications to Congress. Tuesday, February 2, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600046/pdf/DCPD-201600046.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600046/html/DCPD-201600046.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600046&fromBrowse=true,DCPD-201600046,2016
"DCPD-201600047  - Remarks at the Islamic Society of Baltimore in Catonsville, Maryland","Addresses and Remarks. Wednesday, February 3, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600047/pdf/DCPD-201600047.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600047/html/DCPD-201600047.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600047&fromBrowse=true,DCPD-201600047,2016
DCPD-201600048  - Statement on the Signing of the Trans-Pacific Partnership,"Statements by the President. Wednesday, February 3, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600048/pdf/DCPD-201600048.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600048/html/DCPD-201600048.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600048&fromBrowse=true,DCPD-201600048,2016
DCPD-201600049  - Notice-Continuation of the National Emergency With Respect to the Situation in or in Relation to...,"Notices. Wednesday, February 3, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600049/pdf/DCPD-201600049.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600049/html/DCPD-201600049.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600049&fromBrowse=true,DCPD-201600049,2016
DCPD-201600050  - Message to the Congress on Continuation of the National Emergency With Respect to the Situation...,"Communications to Congress. Wednesday, February 3, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600050/pdf/DCPD-201600050.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600050/html/DCPD-201600050.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600050&fromBrowse=true,DCPD-201600050,2016
DCPD-201600051  - Remarks at the National Prayer Breakfast,"Addresses and Remarks. Thursday, February 4, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600051/pdf/DCPD-201600051.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600051/html/DCPD-201600051.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600051&fromBrowse=true,DCPD-201600051,2016
DCPD-201600052  - Remarks Honoring the 2015 National Basketball Association Champion Golden State Warriors,"Addresses and Remarks. Thursday, February 4, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600052/pdf/DCPD-201600052.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600052/html/DCPD-201600052.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600052&fromBrowse=true,DCPD-201600052,2016
DCPD-201600053  - Remarks at a Plan Colombia Reception With President Juan Manuel Santos Calderon of Colombia,"Addresses and Remarks. Thursday, February 4, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600053/pdf/DCPD-201600053.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600053/html/DCPD-201600053.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600053&fromBrowse=true,DCPD-201600053,2016
DCPD-201600054  - Remarks on the Economy and an Exchange With Reporters,"Addresses and Remarks. Friday, February 5, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600054/pdf/DCPD-201600054.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600054/html/DCPD-201600054.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600054&fromBrowse=true,DCPD-201600054,2016
DCPD-201600055  - Statement on the International Day of Zero Tolerance for Female Genital Mutilation/Cutting,"Statements by the President. Friday, February 5, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600055/pdf/DCPD-201600055.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600055/html/DCPD-201600055.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600055&fromBrowse=true,DCPD-201600055,2016
DCPD-201600056  - The President's Weekly Address,"Addresses and Remarks. Saturday, February 6, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600056/pdf/DCPD-201600056.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600056/html/DCPD-201600056.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600056&fromBrowse=true,DCPD-201600056,2016
DCPD-201600057  - Remarks Following a Meeting With President Sergio Mattarella of Italy,"Meetings With Foreign Leaders and International Officials. Monday, February 8, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600057/pdf/DCPD-201600057.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600057/html/DCPD-201600057.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600057&fromBrowse=true,DCPD-201600057,2016
DCPD-201600058  - Remarks Announcing New Cybersecurity Policy Initiatives,"Addresses and Remarks. Tuesday, February 9, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600058/pdf/DCPD-201600058.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600058/html/DCPD-201600058.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600058&fromBrowse=true,DCPD-201600058,2016
DCPD-201600059  - Executive Order 13718-Commission on Enhancing National Cybersecurity,"Executive Orders. Tuesday, February 9, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600059/pdf/DCPD-201600059.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600059/html/DCPD-201600059.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600059&fromBrowse=true,DCPD-201600059,2016
DCPD-201600060  - Executive Order 13719-Establishment of the Federal Privacy Council,"Executive Orders. Tuesday, February 9, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600060/pdf/DCPD-201600060.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600060/html/DCPD-201600060.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600060&fromBrowse=true,DCPD-201600060,2016
DCPD-201600061  - Sequestration Order for Fiscal Year 2017 Pursuant to Section 251A of the Balanced Budget and...,"Orders. Tuesday, February 9, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600061/pdf/DCPD-201600061.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600061/html/DCPD-201600061.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F02&granuleId=&packageId=DCPD-201600061&fromBrowse=true,DCPD-201600061,2016
